Company.Name,Quarter,Closing_Price,EPS,P.E,P.B,Turnover,Debt_to_equity_ratio,Current_ratio,Quick_ratio
State Bank Of India,Sep-11,1911.05,98.47,19.41,1.75,4591.21,1.84,2.19,2.19
State Bank Of India,Dec-11,1619.05,98.47,16.44,1.48,3387.46,1.84,2.19,2.19
State Bank Of India,Mar-12,2096.35,99.67,21.03,1.75,5243.34,1.84,2.19,2.19
State Bank Of India,Jun-12,2159,172.73,12.5,1.73,5555.67,1.52,1.96,1.96
State Bank Of India,Sep-12,2240.6,205.04,10.93,1.71,5029.38,1.52,1.96,1.96
State Bank Of India,Dec-12,2385.5,219.65,10.86,1.69,2388.14,1.52,1.96,1.96
State Bank Of India,Mar-13,2072.75,215.48,9.62,1.45,3866.29,1.52,1.96,1.96
State Bank Of India,Jun-13,1953.8,206.31,9.47,1.35,3047.75,1.71,2.05,2.05
State Bank Of India,Sep-13,1614.9,180.09,8.97,1.06,2714.86,1.71,2.05,2.05
State Bank Of India,Dec-13,1766.5,163.11,10.83,1.13,1894.78,1.71,2.05,2.05
State Bank Of India,Mar-14,1917.7,127.14,15.08,1.21,4969.22,1.55,1.88,1.88
State Bank Of India,Jun-14,2686.25,128.59,20.89,1.65,4073.16,1.55,1.88,1.88
State Bank Of India,Sep-14,2445.7,138.31,17.68,1.46,4568.14,1.55,1.88,1.88
State Bank Of India,Dec-14,311.85,14.74,21.16,1.82,1963.85,1.55,1.88,1.88
State Bank Of India,Mar-15,267.05,13.76,19.41,1.55,5232.84,1.56,2.63,2.63
State Bank Of India,Jun-15,262.75,14.03,18.73,1.47,3701.7,1.56,2.63,2.63
State Bank Of India,Sep-15,237.15,14.68,16.16,1.28,4070.51,1.56,2.63,2.63
State Bank Of India,Dec-15,224.45,12.37,18.15,1.2,2599.04,1.56,2.63,2.63
State Bank Of India,Mar-16,194.25,4.73,41.09,1.07,5894.97,2.24,2.53,2.53
State Bank Of India,Jun-16,218.8,3.26,67.16,1.19,6729.76,2.24,2.53,2.53
State Bank Of India,Sep-16,251.25,1.58,159.39,1.34,3704.82,2.24,2.53,2.53
State Bank Of India,Dec-16,250.2,1.58,158.72,1.34,2640.75,2.24,2.53,2.53
Sun Pharmaceutical Inds. Ltd.,Jun-05,583,18.9,30.85,8.79,155.02,1.64,5.13,4.42
Sun Pharmaceutical Inds. Ltd.,Sep-05,669.05,20.92,31.98,9.24,58.09,1.64,5.13,4.42
Sun Pharmaceutical Inds. Ltd.,Dec-05,681.6,20.92,32.58,9.41,50.6,1.64,5.13,4.42
Sun Pharmaceutical Inds. Ltd.,Mar-06,859.55,24.78,34.69,10.91,85.38,1.19,4.61,3.94
Sun Pharmaceutical Inds. Ltd.,Jun-06,787.7,25.93,30.38,8.96,316.97,1.19,4.61,3.94
Sun Pharmaceutical Inds. Ltd.,Sep-06,931.35,25.85,36.03,10.35,63.15,1.19,4.61,3.94
Sun Pharmaceutical Inds. Ltd.,Dec-06,982.35,27.83,35.29,8.95,295.43,1.19,4.61,3.94
